Timestamp,Module,Message Class (Log Level),Function,Message,Application state,Queue,Thread ID,App,File,Line
" 2022-04-03T15:09:01.809-0400 ",CTXMAMCoreFramework,INFO (4),-[CTXMAMAppsInfo printMAMAppInfo],"CTX MAM App Info: {"CTXMAMCore":"22.1.0+4","CTXMAMAppCore":"22.1.0+1","CitrixLogger":"22.1.0+2","CTXMAMNetwork":"22.1.0+3"} {"CGPrep Toolkit Version & Build":"20.5.0.0","Is MAMCore Debug Build?":"No","lib-ctxlogger":"2.3.9","App Type":"SDK-CitrixMAM(5)"} Device: iPhone13,3 iOS: 15.4",-,com.citrix.ctxmamcore.mamAppInfoQueue,1707,Edge,/Users/jenkins/jenkins/workspace/iossdk_ctxmamcore_Release_22.1.0/CTXMAMCore/CTXMAMAppsInfo/CTXMAMAppsInfo.m,193
" 2022-04-03T15:09:01.809-0400 ",CTXMAMCoreFramework,ERROR (2),-[CTXMAMDataStorage p_getDataFromKeychainWithAccessAttrAndError:],"ConfigManagerPerAppVault.com.microsoft.msedge: Unable to get data from keychain, error = Error Domain=Citrix Code=-25300 "The item cannot be found." UserInfo={NSLocalizedDescription=The item cannot be found.}",-,com.apple.main-thread,103,Edge,/Users/jenkins/jenkins/workspace/iossdk_ctxmamcore_Release_22.1.0/CTXMAMCore/DataStorage/CTXMAMDataStorage.m,740
" 2022-04-03T15:09:01.809-0400 ",CTXMAMCoreFramework,WARNING (3),-[CTXMAMDataStorage getAttributes],"ConfigManagerPerAppVault.com.microsoft.msedge: Failed to get vault attributes. Error: Error Domain=Citrix Code=-25300 "The item cannot be found." UserInfo={NSLocalizedDescription=The item cannot be found.}",-,com.apple.main-thread,103,Edge,/Users/jenkins/jenkins/workspace/iossdk_ctxmamcore_Release_22.1.0/CTXMAMCore/DataStorage/CTXMAMDataStorage.m,1166
" 2022-04-03T15:09:01.810-0400 ",CTXMAMCoreFramework,WARNING (3),-[CTXMAMDataStorage p_initializeStorageData:],"There was a problem trying to getDataFromKeychainWithError, error = Error Domain=CTXMAMDataStorageError Code=90005 "An error occurred on one of the underlying systems." UserInfo={NSLocalizedDescription=An error occurred on one of the underlying systems., NSUnderlyingError=0x282858420 {Error Domain=Citrix Code=-25300 "The item cannot be found." UserInfo={NSLocalizedDescription=The item cannot be found.}}}",-,com.apple.main-thread,103,Edge,/Users/jenkins/jenkins/workspace/iossdk_ctxmamcore_Release_22.1.0/CTXMAMCore/DataStorage/CTXMAMDataStorage.m,604
" 2022-04-03T15:09:01.810-0400 ",CTXMAMCoreFramework,ERROR (2),-[CTXMAMConfigManager initializeSharedStorageWithName:andStorageType:andPolicyMode:andAllowBackgroundAccess:],"Failed to initialize storage ConfigManagerPerAppVault.com.microsoft.msedge with error 90005",-,com.apple.main-thread,103,Edge,/Users/jenkins/jenkins/workspace/iossdk_ctxmamcore_Release_22.1.0/CTXMAMCore/CTXMAMConfigurationManager/CTXMAMConfigManager.m,203
" 2022-04-03T15:09:01.810-0400 ",CTXMAMCoreFramework,INFO (4),-[CTXMAMDataStorage deleteStorage]_block_invoke,"Deleting ConfigManagerPerAppVault.com.microsoft.msedge.",-,com.citrix.mamsdk.ConfigManagerPerAppVault.com.microsoft.msedge,103,Edge,/Users/jenkins/jenkins/workspace/iossdk_ctxmamcore_Release_22.1.0/CTXMAMCore/DataStorage/CTXMAMDataStorage.m,508
" 2022-04-03T15:09:01.810-0400 ",CTXMAMCoreFramework,WARNING (3),-[CTXMAMDataStorage p_deleteKeychainDataForHashedName:],"ConfigManagerPerAppVault.com.microsoft.msedge: Unable to delete data. BackgroundAccessError = Error Domain=Citrix Code=-25300 "The item cannot be found." UserInfo={NSLocalizedDescription=The item cannot be found.}; NoBackgroundAccessError = Error Domain=Citrix Code=-25300 "The item cannot be found." UserInfo={NSLocalizedDescription=The item cannot be found.}",-,com.citrix.mamsdk.ConfigManagerPerAppVault.com.microsoft.msedge,103,Edge,/Users/jenkins/jenkins/workspace/iossdk_ctxmamcore_Release_22.1.0/CTXMAMCore/DataStorage/CTXMAMDataStorage.m,867
" 2022-04-03T15:09:01.810-0400 ",CTXMAMCoreFramework,ERROR (2),-[CTXMAMDataStorage p_getDataFromKeychainWithAccessAttrAndError:],"ConfigManagerAuthVault: Unable to get data from keychain, error = Error Domain=Citrix Code=-25300 "The item cannot be found." UserInfo={NSLocalizedDescription=The item cannot be found.}",-,com.apple.main-thread,103,Edge,/Users/jenkins/jenkins/workspace/iossdk_ctxmamcore_Release_22.1.0/CTXMAMCore/DataStorage/CTXMAMDataStorage.m,740
" 2022-04-03T15:09:01.810-0400 ",CTXMAMCoreFramework,WARNING (3),-[CTXMAMDataStorage getAttributes],"ConfigManagerAuthVault: Failed to get vault attributes. Error: Error Domain=Citrix Code=-25300 "The item cannot be found." UserInfo={NSLocalizedDescription=The item cannot be found.}",-,com.apple.main-thread,103,Edge,/Users/jenkins/jenkins/workspace/iossdk_ctxmamcore_Release_22.1.0/CTXMAMCore/DataStorage/CTXMAMDataStorage.m,1166
" 2022-04-03T15:09:01.810-0400 ",CTXMAMCoreFramework,WARNING (3),-[CTXMAMDataStorage p_migrateDataFromOldVaultIfRequiredWithError:],"getDataFromKeychainWithError failed with error = Error Domain=CTXMAMDataStorageError Code=90005 "An error occurred on one of the underlying systems." UserInfo={NSLocalizedDescription=An error occurred on one of the underlying systems., NSUnderlyingError=0x282852040 {Error Domain=Citrix Code=-25300 "The item cannot be found." UserInfo={NSLocalizedDescription=The item cannot be found.}}}, will try to migrate data from old vault.",-,com.apple.main-thread,103,Edge,/Users/jenkins/jenkins/workspace/iossdk_ctxmamcore_Release_22.1.0/CTXMAMCore/DataStorage/CTXMAMDataStorage.m,1012
